Column Name,Column Type,Length,Precisions,Scales
TS_ID,int,,,
Term_Code_Entry,int,,,
Entry_Term,varchar,26,,
Program,varchar,60,,
Total_Applicants,int,,,
Accepted_Over_Applicant,varchar,12,,
Accepted_Over_Completed,varchar,14,,
Enrolled_Over_Applicant_Minus_Change_of_Term,varchar,14,,
Total_Conditional_Admit,int,,,
Total_Completed_File,int,,,
Total_Incomplete_File,int,,,
Total_Accepted,int,,,
Total_Denied,int,,,
Total_Ready_For_Review,int,,,
Total_Deposited,int,,,
Total_Enrolled,int,,,
Total_Drops_And_Withdraws,int,,,
Total_Withdraw_Before_Accept,int,,,
Total_Withdrew_Before_Deposit,int,,,
Total_Withdrew_After_Deposit,int,,,
Total_Changed_Start_Term_Before_Accept,int,,,
Total_Changed_Start_Term_After_Accept,int,,,
Total_Changed_Start_Term_After_Deposit,int,,,
Total_Changed_Program,int,,,
Total_Dropped_Before_Census_D1,int,,,
